Rk,Unnamed: 1,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,PPG,SHG,GWG,G/GP,A/GP,P/GP,SOG,SH%
1,,Mason Shaw,MTB,27,F,39,12,15,27,36,10.0,0,0,2,0.308,0.385,0.692,85.0,14.1%
2,,Walker Duehr,MTB,28,F,37,11,14,25,16,9.0,0,2,1,0.297,0.378,0.676,81.0,13.6%
3,,David Gustafsson,MTB,25,F,38,8,17,25,10,10.0,3,0,2,0.211,0.447,0.658,74.0,10.8%
4,,Samuel Fagemo,MTB,25,F,40,11,9,20,14,-11.0,5,0,1,0.275,0.225,0.5,84.0,13.1%
5,,Phil Di Giuseppe,MTB,32,F,40,8,11,19,48,-13.0,3,2,1,0.2,0.275,0.475,112.0,7.1%
6,,Kale Clague,MTB,27,D,38,7,12,19,30,-11.0,1,0,0,0.184,0.316,0.5,94.0,7.5%
7,,Ville Heinola,MTB,24,D,40,2,17,19,22,-4.0,0,0,1,0.05,0.425,0.475,79.0,2.5%
8,,Jaret Anderson-Dolan,MTB,26,F,40,8,9,17,34,-7.0,0,0,3,0.2,0.225,0.425,46.0,17.4%
9,,Brayden Yager,MTB,20,F,40,5,11,16,6,-7.0,1,0,1,0.125,0.275,0.4,63.0,7.9%
10,,Danny Zhilkin,MTB,22,F,34,8,7,15,10,-4.0,1,1,2,0.235,0.206,0.441,73.0,11.0%
11,,Isaak Phillips,MTB,24,D,35,3,12,15,24,5.0,0,1,0,0.086,0.343,0.429,75.0,4.0%
12,,Brad Lambert,MTB,22,F,27,5,6,11,16,-6.0,2,0,2,0.185,0.222,0.407,53.0,9.4%
13,,Parker Ford,MTB,25,F,25,4,7,11,14,0.0,0,0,1,0.16,0.28,0.44,41.0,9.8%
14,,Colby Barlow,MTB,20,F,37,3,5,8,14,-2.0,0,0,1,0.081,0.135,0.216,41.0,7.3%
15,,Elias Salomonsson,MTB,21,D,25,1,7,8,10,-5.0,0,0,0,0.04,0.28,0.32,37.0,2.7%
16,,Ashton Sautner,MTB,31,D,36,0,7,7,31,10.0,0,0,0,0.0,0.194,0.194,35.0,0.0%
17,,Dylan Anhorn,MTB,26,D,18,1,4,5,10,3.0,0,0,0,0.056,0.222,0.278,15.0,6.7%
18,,Nikita Chibrikov,MTB,22,F,25,2,2,4,6,-10.0,1,0,0,0.08,0.08,0.16,50.0,4.0%
19,,Tyrel Bauer,MTB,23,D,32,1,2,3,68,9.0,0,0,0,0.031,0.063,0.094,38.0,2.6%
20,,Kevin Conley,MTB,28,F,5,2,0,2,2,1.0,0,0,1,0.4,0.0,0.4,7.0,28.6%
21,,Jacob Julien,MTB,21,F,4,0,2,2,0,2.0,0,0,0,0.0,0.5,0.5,3.0,0.0%
22,,Ethan Frisch,MTB,25,D,10,0,2,2,0,2.0,0,0,0,0.0,0.2,0.2,14.0,0.0%
23,,Fabian Wagner,MTB,21,F,14,1,0,1,4,0.0,0,0,0,0.071,0.0,0.071,12.0,8.3%
24,,Chase Yoder,MTB,23,F,8,0,1,1,8,-2.0,0,0,0,0.0,0.125,0.125,4.0,0.0%
25,,Tyson Empey,MTB,30,F,18,0,1,1,52,0.0,0,0,0,0.0,0.056,0.056,8.0,0.0%
26,,Isaac Poulter,MTB,24,G,3,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
27,,Dawson Barteaux,MTB,25,D,7,0,0,0,4,1.0,0,0,0,0.0,0.0,0.0,5.0,0.0%
28,,Reece Vitelli,MTB,24,F,8,0,0,0,5,2.0,0,0,0,0.0,0.0,0.0,6.0,0.0%
29,,Thomas Milic,MTB,22,G,18,0,0,0,2,,0,0,0,0.0,0.0,0.0,,
30,,Dom DiVincentiis,MTB,21,G,22,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
