Season,Rk,Unnamed: 1,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,PPG,SHG,GWG,G/GP,A/GP,P/GP,SOG,SH%
2019-20,1,,Seth Griffith,MTB,26,F,58,21,20,41,28,-12.0,6,0,2,0.362,0.345,0.707,92.0,22.8%
2019-20,2,,J.C. Lipon,MTB,26,F,61,13,18,31,100,0.0,2,1,1,0.213,0.295,0.508,145.0,9.0%
2019-20,3,,Jansen Harkins,MTB,22,F,30,7,24,31,28,4.0,1,0,0,0.233,0.8,1.033,49.0,14.3%
2019-20,4,,Kristian Vesalainen,MTB,20,F,60,12,18,30,10,-16.0,6,0,1,0.2,0.3,0.5,121.0,9.9%
2019-20,5,,C.J. Suess,MTB,25,F,57,14,13,27,33,-5.0,6,2,4,0.246,0.228,0.474,81.0,17.3%
2019-20,6,,Leon Gawanke,MTB,20,D,48,4,22,26,21,-5.0,1,0,1,0.083,0.458,0.542,92.0,4.4%
2019-20,7,,Andrei Chibisov,MTB,26,F,53,7,18,25,75,-19.0,1,0,1,0.132,0.34,0.472,88.0,8.0%
2019-20,8,,Cameron Schilling,MTB,31,D,54,5,19,24,24,7.0,1,0,1,0.093,0.352,0.444,110.0,4.6%
2019-20,9,,Skyler McKenzie,MTB,21,F,58,9,14,23,18,-4.0,2,0,1,0.155,0.241,0.397,95.0,9.5%
2019-20,10,,Michael Spacek,MTB,22,F,45,9,11,20,2,-14.0,3,0,3,0.2,0.244,0.444,72.0,12.5%
2019-20,11,,Kristian Reichel,MTB,21,F,39,12,5,17,18,1.0,0,0,1,0.308,0.128,0.436,61.0,19.7%
2019-20,12,,Jimmy Oligny,MTB,26,D,53,4,12,16,83,-2.0,0,0,0,0.075,0.226,0.302,60.0,6.7%
2019-20,13,,Cole Maier,MTB,24,F,59,7,8,15,12,-7.0,0,1,2,0.119,0.136,0.254,81.0,8.6%
2019-20,14,,Emile Poirier,MTB,25,F,50,6,8,14,48,-7.0,0,0,3,0.12,0.16,0.28,59.0,10.2%
2019-20,15,,Sami Niku,MTB,23,D,18,3,11,14,12,-6.0,0,0,0,0.167,0.611,0.778,19.0,15.8%
2019-20,16,,Johnathan Kovacevic,MTB,22,D,45,4,8,12,33,10.0,1,0,1,0.089,0.178,0.267,56.0,7.1%
2019-20,17,,Logan Stanley,MTB,21,D,44,3,7,10,73,-17.0,0,0,0,0.068,0.159,0.227,70.0,4.3%
2019-20,18,,Brent Pedersen,MTB,24,F,36,3,6,9,6,3.0,0,0,2,0.083,0.167,0.25,44.0,6.8%
2019-20,19,,Nelson Nogier,MTB,23,D,58,1,8,9,45,-15.0,0,0,0,0.017,0.138,0.155,85.0,1.2%
2019-20,20,,Logan Shaw,MTB,27,F,16,4,3,7,10,-2.0,1,1,0,0.25,0.188,0.438,41.0,9.8%
2019-20,21,,David Gustafsson,MTB,19,F,13,2,5,7,2,0.0,0,1,0,0.154,0.385,0.538,16.0,12.5%
2019-20,22,,Joona Luoto,MTB,22,F,18,0,4,4,13,-2.0,0,0,0,0.0,0.222,0.222,31.0,0.0%
2019-20,23,,Derek Hulak,MTB,30,F,18,2,1,3,10,2.0,1,0,0,0.111,0.056,0.167,19.0,10.5%
2019-20,24,,Ryan White,MTB,31,F,21,2,1,3,87,-1.0,0,0,0,0.095,0.048,0.143,19.0,10.5%
2019-20,25,,Mikhail Berdin,MTB,21,G,42,0,2,2,10,,0,0,0,0.0,0.048,0.048,,
2019-20,26,,Danny Moynihan,MTB,24,F,4,1,0,1,0,-1.0,0,0,0,0.25,0.0,0.25,4.0,25.0%
2019-20,27,,Luke Green,MTB,21,D,13,1,0,1,4,4.0,1,0,0,0.077,0.0,0.077,19.0,5.3%
2019-20,28,,Nathan Todd,MTB,24,F,16,1,0,1,2,-1.0,0,0,0,0.063,0.0,0.063,20.0,5.0%
2019-20,29,,Ville Heinola,MTB,18,D,3,0,1,1,0,-2.0,0,0,0,0.0,0.333,0.333,1.0,0.0%
2019-20,30,,Alexis D'Aoust,MTB,23,F,4,0,1,1,2,2.0,0,0,0,0.0,0.25,0.25,7.0,0.0%
2019-20,31,,Mason Appleton,MTB,23,F,4,0,1,1,0,-4.0,0,0,0,0.0,0.25,0.25,14.0,0.0%
2019-20,32,,Hunter Fejes,MTB,25,F,7,0,1,1,2,-1.0,0,0,0,0.0,0.143,0.143,6.0,0.0%
2019-20,33,,Charles-David Beaudoin,MTB,25,D,9,0,1,1,11,-1.0,0,0,0,0.0,0.111,0.111,8.0,0.0%
2019-20,34,,Peter Stoykewych,MTB,27,D,12,0,1,1,10,-4.0,0,0,0,0.0,0.083,0.083,20.0,0.0%
2019-20,35,,Adam Carlson,MTB,25,G,2,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
2019-20,36,,Daniel Brickley,MTB,24,D,2,0,0,0,2,2.0,0,0,0,0.0,0.0,0.0,4.0,0.0%
2019-20,37,,Bobby Lynch,MTB,21,F,3,0,0,0,4,-2.0,0,0,0,0.0,0.0,0.0,1.0,0.0%
2019-20,38,,Griffen Outhouse,MTB,21,G,5,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
2019-20,39,,Hayden Shaw,MTB,23,D,9,0,0,0,6,-2.0,0,0,0,0.0,0.0,0.0,2.0,0.0%
2019-20,40,,Eric Comrie,MTB,24,G,16,0,0,0,0,,0,0,0,0.0,0.0,0.0,,
