Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
Nikola Jokic,36,36.0,34.4,29.1,3.1,9.0,12.1,10.5,1.4,0.7,3.5,2.8,3.0,10.3,17.4,59.4,2.1,4.9,41.8,6.4,7.6,84.3,8.3,12.5,66.4,1.676,0.65,C,False
Jamal Murray,47,47.0,35.8,25.9,0.4,3.9,4.3,7.5,1.0,0.4,2.3,1.5,3.2,9.1,18.8,48.6,3.2,7.5,43.2,4.4,5.0,88.0,5.9,11.3,52.2,1.376,0.57,G,False
Aaron Gordon,23,20.0,27.9,17.7,1.3,4.9,6.2,2.5,0.7,0.2,1.0,1.7,2.4,6.0,11.9,50.9,1.8,4.6,40.0,3.7,4.7,78.9,4.2,7.3,57.7,1.487,0.59,F,False
Peyton Watson,49,39.0,30.7,14.9,0.9,4.0,4.9,2.0,1.0,1.2,1.8,2.5,1.1,5.4,10.9,49.6,1.5,3.7,41.7,2.6,3.6,72.7,3.9,7.2,53.7,1.374,0.57,G,False
Tim Hardaway Jr.,51,5.0,27.5,13.9,0.2,2.5,2.6,1.4,0.5,0.2,0.5,1.2,2.9,4.5,10.1,44.6,2.8,7.0,40.6,2.0,2.3,88.9,1.6,3.1,53.5,1.375,0.59,G,False
Cameron Johnson,28,28.0,30.6,11.7,0.7,2.9,3.6,2.4,0.6,0.3,1.0,2.3,2.4,4.0,8.8,46.1,1.9,4.5,42.9,1.7,2.1,81.0,2.1,4.3,49.6,1.335,0.57,F,False
Christian Braun,16,16.0,29.6,9.1,1.5,2.6,4.1,2.7,0.6,0.4,1.1,2.2,2.4,3.4,7.7,44.7,0.4,2.3,19.4,1.8,2.3,77.8,3.0,5.4,55.2,1.179,0.48,G,False
Jonas Valanciunas,40,4.0,14.6,9.0,1.6,3.7,5.3,1.4,0.2,0.7,1.2,2.3,1.1,3.7,6.4,57.6,0.1,0.4,29.4,1.6,2.0,78.5,3.6,6.0,59.7,1.416,0.59,C,False
Bruce Brown,52,2.0,24.7,7.5,1.1,2.9,4.1,2.1,1.0,0.3,1.1,2.4,2.0,2.9,6.3,46.5,0.5,1.6,34.6,1.2,1.5,77.9,2.4,4.7,50.4,1.199,0.51,G,False
Spencer Jones,46,34.0,23.6,6.0,1.1,2.0,3.1,0.8,0.9,0.4,0.6,2.8,1.5,2.2,4.3,50.5,1.0,2.5,41.4,0.6,1.0,62.2,1.1,1.7,63.7,1.398,0.63,F,False
Jalen Pickett,36,18.0,18.3,5.7,0.5,2.3,2.8,2.8,0.4,0.1,0.8,1.0,3.5,2.2,5.2,42.2,1.1,2.8,37.6,0.3,0.3,90.9,1.1,2.4,47.7,1.102,0.52,G,False
Julian Strawther,29,1.0,12.2,5.2,0.2,1.7,1.9,1.0,0.4,0.1,0.5,1.0,1.9,1.7,4.0,43.1,0.5,1.8,29.4,1.3,1.6,80.4,1.2,2.2,53.8,1.31,0.5,G,False
Zeke Nnaji,38,2.0,13.1,4.3,0.7,2.1,2.8,0.6,0.3,0.5,0.6,1.4,1.0,1.6,3.2,49.2,0.3,1.1,27.5,0.9,1.1,82.5,1.3,2.2,59.8,1.344,0.54,F,False
DaRon Holmes II,14,6.0,12.5,4.1,0.4,1.4,1.7,1.1,0.0,0.3,0.4,1.1,3.0,1.4,3.1,44.2,1.0,2.4,41.2,0.4,0.6,75.0,0.4,0.6,55.6,1.349,0.6,F,False
Hunter Tyson,21,2.0,7.7,2.2,0.2,1.5,1.7,0.8,0.1,0.0,0.2,0.6,3.4,0.7,2.5,26.9,0.3,1.6,21.2,0.5,0.6,84.6,0.3,0.9,36.8,0.885,0.34,F,False
Curtis Jones,6,0.0,5.2,1.5,0.2,0.7,0.8,0.5,0.0,0.0,0.2,0.5,3.0,0.7,2.3,28.6,0.2,1.5,11.1,0.0,0.0,0.0,0.5,0.8,60.0,0.643,0.32,G,False
Total,52,,,120.1,9.5,33.1,42.6,27.8,6.9,4.2,11.9,19.0,2.3,42.8,86.7,49.4,13.8,34.9,39.4,20.7,25.4,81.4,29.0,51.8,56.0,1.385,0.57,Total,False
