Team,GP,GF/G,A,PTS,PPG,PP%,SHG,S,S%,PIM,PK%,SOA,SOG,SO%
Ottawa Senators,82,3.15,441,699,60,18.3,18,2471,10.4,1175,81.2,31,10,32.3
Montreal Canadiens,82,3.13,441,698,90,24.1,8,2383,10.8,1090,82.5,37,9,24.3
Detroit Red Wings,82,3.07,443,695,81,20.8,5,2820,8.9,937,84.0,30,12,40.0
Buffalo Sabres,82,3.06,454,705,66,18.0,9,2478,10.1,1004,83.2,43,12,27.9
Carolina Hurricanes,82,3.05,446,696,79,18.8,4,2669,9.4,1183,78.9,14,7,50.0
Philadelphia Flyers,82,2.99,405,650,84,21.8,13,2359,10.4,1471,83.2,25,10,40.0
Pittsburgh Penguins,82,2.93,427,667,77,20.4,6,2269,10.6,1179,81.0,44,17,38.6
Washington Capitals,82,2.9,401,639,65,18.8,5,2538,9.4,975,80.5,39,10,25.6
Dallas Stars,82,2.89,410,647,64,18.0,13,2187,10.8,1176,85.6,28,10,35.7
Chicago Blackhawks,82,2.85,395,629,58,15.9,17,2298,10.2,1383,82.1,26,10,38.5
Toronto Maple Leafs,82,2.78,399,627,61,17.8,4,2542,9.0,1087,78.2,24,8,33.3
Nashville Predators,82,2.77,407,634,53,14.8,7,2425,9.4,1027,85.4,21,6,28.6
Calgary Flames,82,2.76,379,605,59,16.8,9,2316,9.8,1342,81.4,18,7,38.9
Los Angeles Kings,82,2.76,381,607,64,17.5,11,2349,9.6,954,78.0,29,12,41.4
Colorado Avalanche,82,2.73,406,630,49,14.6,2,2349,9.5,995,81.4,39,16,41.0
Tampa Bay Lightning,82,2.7,380,601,57,19.3,7,2354,9.4,1038,82.1,10,4,40.0
Edmonton Oilers,82,2.68,380,600,57,16.6,7,2156,10.2,1175,84.7,65,24,36.9
Minnesota Wild,82,2.68,390,610,64,18.9,3,2218,9.9,1098,85.2,33,10,30.3
San Jose Sharks,82,2.63,376,592,70,18.7,7,2428,8.9,1075,86.0,41,18,43.9
Florida Panthers,82,2.57,353,564,60,19.2,4,2549,8.3,1026,82.4,41,9,22.0
Vancouver Canucks,82,2.52,351,558,63,17.0,8,2252,9.2,1474,82.6,56,13,23.2
Atlanta Thrashers,82,2.52,336,543,52,16.4,13,2115,9.8,1077,78.8,51,17,33.3
Boston Bruins,82,2.51,353,559,56,17.6,9,2339,8.8,1069,78.6,35,8,22.9
New York Rangers,82,2.5,370,575,61,16.5,4,2579,7.9,1154,84.5,53,15,28.3
St. Louis Blues,82,2.46,358,560,47,14.0,3,2141,9.4,1153,84.4,27,5,18.5
New Jersey Devils,82,2.41,346,544,50,15.6,6,2362,8.4,974,82.8,42,15,35.7
Anaheim Ducks,82,2.4,342,539,60,16.6,8,2241,8.8,1481,83.1,47,16,34.0
Columbus Blue Jackets,82,2.32,317,507,53,14.8,8,2381,8.0,1325,83.3,37,11,29.7
New York Islanders,82,2.3,313,502,48,14.5,10,2435,7.8,1041,81.9,32,11,34.4
